k,time_mean,time_2std,nodes_mean,nodes_2std,cost_mean
2,0.000230600,0.000066191,3.800,1.960,2.000
4,0.000277060,0.000078082,12.600,4.996,4.000
6,0.000422360,0.000104340,45.600,17.371,6.000
8,0.000539820,0.000133435,116.600,39.912,8.000
10,0.001120800,0.000406128,321.200,96.932,10.000
12,0.003987580,0.007418520,881.000,276.058,12.000
14,0.003218740,0.002937780,2479.800,534.729,14.000
16,0.006060100,0.004967158,7170.000,2780.330,16.000
18,0.011918900,0.009899062,14499.200,2295.534,18.000
20,0.016661400,0.011239756,31381.600,8720.021,20.000
